time,angle_cmd,angle_meas,q_cmd,q_meas,elavator
12.7114,-0.0472416,-0.0451254,-0.0105808,-0.00981096,-0.0228273
12.7134,-0.0467703,-0.0451451,-0.00812577,-0.00983994,-0.01039
12.7154,-0.047191,-0.0451647,-0.0101316,-0.00978147,-0.0207149
12.7174,-0.0466825,-0.0451843,-0.00749107,-0.00979605,-0.00741635
12.7194,-0.0472141,-0.0452037,-0.0100518,-0.00971735,-0.0206169
12.7214,-0.0470216,-0.0452232,-0.00899211,-0.00973211,-0.0152372
12.7234,-0.0469824,-0.0452426,-0.00869922,-0.00970901,-0.0138782
12.7254,-0.0477492,-0.0452619,-0.0124361,-0.0096767,-0.0327516
12.7274,-0.0476124,-0.0452815,-0.0116543,-0.00977694,-0.0283603
12.7294,-0.0472877,-0.0453012,-0.00993244,-0.0098451,-0.019411
12.7314,-0.0475175,-0.0453209,-0.0109831,-0.00984971,-0.0246527
12.7334,-0.0480055,-0.0453407,-0.013324,-0.00989095,-0.0361853
12.7354,-0.0468121,-0.0453607,-0.00725703,-0.0100124,-0.00521577
12.7374,-0.0471063,-0.0453805,-0.00862887,-0.00991538,-0.012547
12.7394,-0.047275,-0.0454003,-0.00937358,-0.009871,-0.0164875
12.7414,-0.0479054,-0.04542,-0.0124271,-0.0098548,-0.0318618
12.7434,-0.0466141,-0.0454399,-0.00587119,-0.00994644,0.00141668
12.7454,-0.0474029,-0.0454595,-0.00971703,-0.0098039,-0.0185243
12.7474,-0.0479958,-0.0454791,-0.0125836,-0.00980285,-0.0328903
12.7494,-0.0470497,-0.0454989,-0.0077543,-0.00990238,-0.00822464
12.7514,-0.0481859,-0.0455185,-0.0133367,-0.00982792,-0.0365438
12.7534,-0.0473994,-0.0455384,-0.00930484,-0.00995269,-0.0157544
12.7554,-0.0479481,-0.0455583,-0.0119488,-0.00993027,-0.0291066
12.7574,-0.0479888,-0.0455783,-0.0120524,-0.0100016,-0.0292881
12.7594,-0.0482253,-0.0455985,-0.0131341,-0.0100733,-0.0343692
12.7614,-0.047784,-0.0456188,-0.0108261,-0.0101795,-0.0223041
12.7634,-0.047191,-0.0456392,-0.00775894,-0.0101999,-0.00684197
12.7654,-0.0478034,-0.0456594,-0.01072,-0.0101118,-0.0220938
12.7674,-0.047292,-0.0456797,-0.00806164,-0.0101317,-0.00868221
12.7694,-0.0477391,-0.0456998,-0.0101964,-0.0100574,-0.0197291
12.7714,-0.0473834,-0.0457199,-0.00831744,-0.0100614,-0.0102967
12.7734,-0.0470206,-0.0457399,-0.00640316,-0.00999929,-0.000999708
12.7754,-0.0473148,-0.0457597,-0.00777559,-0.00987297,-0.00847253
12.7774,-0.0484647,-0.0457793,-0.013427,-0.00980063,-0.0371276
12.7794,-0.0474679,-0.0457991,-0.0083437,-0.00992985,-0.011049
12.7814,-0.0478766,-0.0458189,-0.0102885,-0.0098748,-0.0210525
12.7834,-0.0479904,-0.0458387,-0.0107589,-0.0098905,-0.0233344
12.7854,-0.0489518,-0.0458585,-0.0154663,-0.00992197,-0.0467697
12.7874,-0.0475396,-0.0458788,-0.00830423,-0.0101171,-0.00996578
12.7894,-0.0477697,-0.0458989,-0.00935424,-0.0100519,-0.0155345
12.7914,-0.0483419,-0.0459189,-0.0121149,-0.0100266,-0.0294852
12.7934,-0.0482903,-0.0459391,-0.0117557,-0.0100994,-0.0273422
12.7954,-0.0470695,-0.0459594,-0.00555042,-0.0101561,0.00401399
12.7974,-0.047829,-0.0459794,-0.00924794,-0.00999258,-0.0152837
12.7994,-0.0486501,-0.0459993,-0.0132538,-0.00996633,-0.0354773
12.8014,-0.0475435,-0.0460195,-0.00761978,-0.0100818,-0.00670515
12.8034,-0.0479235,-0.0460395,-0.00942016,-0.0099943,-0.0161387
12.8054,-0.048509,-0.0460594,-0.0122476,-0.00997401,-0.0304001
