time,q_cmd,q_meas,elevator
9.32769,0.3,0.291412,0.555946
9.32969,0.3,0.291418,0.555957
9.33169,0.3,0.291424,0.555968
9.33369,0.3,0.291431,0.555979
9.33569,0.3,0.291437,0.55599
9.33769,0.3,0.291443,0.556001
9.33969,0.3,0.291449,0.556012
9.34169,0.3,0.291455,0.556023
9.34369,0.3,0.291461,0.556034
9.34569,0.3,0.291467,0.556045
9.34769,0.3,0.291473,0.556056
9.34969,0.3,0.291479,0.556067
9.35169,0.3,0.291485,0.556078
9.35369,0.3,0.291491,0.556089
9.35569,0.3,0.291498,0.556099
9.35769,0.3,0.291504,0.55611
9.35969,0.3,0.29151,0.556121
9.36169,0.3,0.291516,0.556132
9.36369,0.3,0.291522,0.556143
9.36569,0.3,0.291528,0.556154
9.36769,0.3,0.291534,0.556165
9.36969,0.3,0.29154,0.556176
9.37169,0.3,0.291546,0.556187
9.37369,0.3,0.291552,0.556198
9.37569,0.3,0.291558,0.556208
9.37769,0.3,0.291564,0.556219
9.37969,0.3,0.29157,0.55623
9.38169,0.3,0.291576,0.556241
9.38369,0.3,0.291582,0.556252
9.38568,0.3,0.291588,0.556263
9.38768,0.3,0.291594,0.556273
9.38968,0.3,0.2916,0.556284
9.39168,0.3,0.291606,0.556295
9.39368,0.3,0.291612,0.556306
9.39568,0.3,0.291618,0.556316
9.39768,0.3,0.291624,0.556327
9.39968,0.3,0.29163,0.556338
9.40168,0.3,0.291636,0.556349
9.40368,0.3,0.291642,0.55636
9.40568,0.3,0.291648,0.55637
9.40768,0.3,0.291654,0.556381
9.40968,0.3,0.29166,0.556392
9.41168,0.3,0.291666,0.556403
9.41368,0.3,0.291672,0.556413
9.41568,0.3,0.291678,0.556424
9.41768,0.3,0.291683,0.556435
9.41968,0.3,0.291689,0.556445
9.42168,0.3,0.291695,0.556456
9.42368,0.3,0.291701,0.556467
9.42568,0.3,0.291707,0.556477
9.42768,0.3,0.291713,0.556488
9.42968,0.3,0.291719,0.556499
9.43168,0.3,0.291725,0.556509
9.43368,0.3,0.291731,0.55652
9.43568,0.3,0.291737,0.55653
9.43768,0.3,0.291743,0.556541
9.43968,0.3,0.291748,0.556552
9.44168,0.3,0.291754,0.556562
9.44368,0.3,0.29176,0.556573
9.44568,0.3,0.291766,0.556584
9.44768,0.3,0.291772,0.556594
9.44968,0.3,0.291778,0.556605
9.45168,0.3,0.291784,0.556615
9.45368,0.3,0.29179,0.556626
9.45568,0.3,0.291795,0.556636
9.45768,0.3,0.291801,0.556647
9.45968,0.3,0.291807,0.556657
9.46168,0.3,0.291813,0.556668
9.46368,0.3,0.291819,0.556679
9.46568,0.3,0.291825,0.556689
9.46768,0.3,0.29183,0.5567
9.46968,0.3,0.291836,0.55671
9.47168,0.3,0.291842,0.556721
9.47368,0.3,0.291848,0.556731
9.47568,0.3,0.291854,0.556742
9.47768,0.3,0.29186,0.556752
9.47968,0.3,0.291865,0.556762
9.48168,0.3,0.291871,0.556773
9.48368,0.3,0.291877,0.556783
9.48568,0.3,0.291883,0.556794
9.48768,0.3,0.291889,0.556804
9.48968,0.3,0.291894,0.556815
9.49168,0.3,0.2919,0.556825
9.49368,0.3,0.291906,0.556836
9.49568,0.3,0.291912,0.556846
9.49768,0.3,0.291917,0.556856
9.49968,0.3,0.291923,0.556867
9.50168,0.3,0.291929,0.556877
9.50368,0.3,0.291935,0.556888
9.50568,0.3,0.29194,0.556898
9.50768,0.3,0.291946,0.556908
9.50968,0.3,0.291952,0.556919
9.51168,0.3,0.291958,0.556929
9.51368,0.3,0.291963,0.556939
9.51568,0.3,0.291969,0.55695
9.51768,0.3,0.291975,0.55696
9.51968,0.3,0.291981,0.55697
9.52168,0.3,0.291986,0.55698
9.52367,0.3,0.291992,0.556991
9.52567,0.3,0.291998,0.557001
9.52767,0.3,0.292003,0.557011
9.52967,0.3,0.292009,0.557022
9.53167,0.3,0.292015,0.557032
9.53367,0.3,0.29202,0.557042
9.53567,0.3,0.292026,0.557053
9.53767,0.3,0.292032,0.557063
9.53967,0.3,0.292038,0.557073
9.54167,0.3,0.292043,0.557083
9.54367,0.3,0.292049,0.557094
9.54567,0.3,0.292055,0.557104
9.54767,0.3,0.29206,0.557114
9.54967,0.3,0.292066,0.557124
9.55167,0.3,0.292072,0.557134
9.55367,0.3,0.292077,0.557145
9.55567,0.3,0.292083,0.557155
9.55767,0.3,0.292088,0.557165
9.55967,0.3,0.292094,0.557175
9.56167,0.3,0.2921,0.557185
9.56367,0.3,0.292105,0.557195
9.56567,0.3,0.292111,0.557206
9.56767,0.3,0.292117,0.557216
9.56967,0.3,0.292122,0.557226
9.57167,0.3,0.292128,0.557236
9.57367,0.3,0.292133,0.557246
9.57567,0.3,0.292139,0.557256
9.57767,0.3,0.292145,0.557266
9.57967,0.3,0.29215,0.557276
9.58167,0.3,0.292156,0.557287
9.58367,0.3,0.292161,0.557297
9.58567,0.3,0.292167,0.557307
9.58767,0.3,0.292173,0.557317
9.58967,0.3,0.292178,0.557327
9.59167,0.3,0.292184,0.557337
9.59367,0.3,0.292189,0.557347
9.59567,0.3,0.292195,0.557357
9.59767,0.3,0.292201,0.557367
9.59967,0.3,0.292206,0.557377
9.60167,0.3,0.292212,0.557387
9.60367,0.3,0.292217,0.557397
9.60567,0.3,0.292223,0.557407
9.60767,0.3,0.292228,0.557417
9.60967,0.3,0.292234,0.557427
9.61167,0.3,0.292239,0.557437
9.61367,0.3,0.292245,0.557447
9.61567,0.3,0.29225,0.557457
9.61767,0.3,0.292256,0.557467
9.61967,0.3,0.292261,0.557477
9.62167,0.3,0.292267,0.557487
9.62367,0.3,0.292273,0.557497
9.62567,0.3,0.292278,0.557507
9.62767,0.3,0.292284,0.557517
9.62967,0.3,0.292289,0.557526
9.63167,0.3,0.292295,0.557536
9.63367,0.3,0.2923,0.557546
9.63567,0.3,0.292305,0.557556
9.63767,0.3,0.292311,0.557566
9.63967,0.3,0.292316,0.557576
9.64167,0.3,0.292322,0.557586
9.64367,0.3,0.292327,0.557596
9.64567,0.3,0.292333,0.557606
9.64767,0.3,0.292338,0.557615
9.64967,0.3,0.292344,0.557625
9.65167,0.3,0.292349,0.557635
9.65367,0.3,0.292355,0.557645
9.65567,0.3,0.29236,0.557655
9.65767,0.3,0.292366,0.557665
9.65967,0.3,0.292371,0.557674
9.66166,0.3,0.292377,0.557684
9.66366,0.3,0.292382,0.557694
9.66566,0.3,0.292387,0.557704
9.66766,0.3,0.292393,0.557714
9.66966,0.3,0.292398,0.557723
9.67166,0.3,0.292404,0.557733
9.67366,0.3,0.292409,0.557743
9.67566,0.3,0.292415,0.557753
9.67766,0.3,0.29242,0.557763
9.67966,0.3,0.292425,0.557772
9.68166,0.3,0.292431,0.557782
9.68366,0.3,0.292436,0.557792
9.68566,0.3,0.292441,0.557801
9.68766,0.3,0.292447,0.557811
9.68966,0.3,0.292452,0.557821
9.69166,0.3,0.292458,0.557831
9.69366,0.3,0.292463,0.55784
9.69566,0.3,0.292468,0.55785
9.69766,0.3,0.292474,0.55786
9.69966,0.3,0.292479,0.557869
9.70166,0.3,0.292484,0.557879
9.70366,0.3,0.29249,0.557889
9.70566,0.3,0.292495,0.557898
9.70766,0.3,0.292501,0.557908
9.70966,0.3,0.292506,0.557918
9.71166,0.3,0.292511,0.557927
9.71366,0.3,0.292517,0.557937
9.71566,0.3,0.292522,0.557946
9.71766,0.3,0.292527,0.557956
9.71966,0.3,0.292533,0.557966
9.72166,0.3,0.292538,0.557975
9.72366,0.3,0.292543,0.557985
9.72566,0.3,0.292549,0.557994
9.72766,0.3,0.292554,0.558004
9.72966,0.3,0.292559,0.558014
9.73166,0.3,0.292564,0.558023
9.73366,0.3,0.29257,0.558033
9.73566,0.3,0.292575,0.558042
9.73766,0.3,0.29258,0.558052
9.73966,0.3,0.292586,0.558061
9.74166,0.3,0.292591,0.558071
9.74366,0.3,0.292596,0.55808
9.74566,0.3,0.292602,0.55809
9.74766,0.3,0.292607,0.558099
9.74966,0.3,0.292612,0.558109
9.75166,0.3,0.292617,0.558118
9.75366,0.3,0.292623,0.558128
9.75566,0.3,0.292628,0.558137
9.75766,0.3,0.292633,0.558147
9.75966,0.3,0.292638,0.558156
9.76166,0.3,0.292644,0.558166
9.76366,0.3,0.292649,0.558175
9.76566,0.3,0.292654,0.558185
9.76766,0.3,0.292659,0.558194
9.76966,0.3,0.292665,0.558204
9.77166,0.3,0.29267,0.558213
9.77366,0.3,0.292675,0.558222
9.77566,0.3,0.29268,0.558232
9.77766,0.3,0.292685,0.558241
9.77966,0.3,0.292691,0.558251
9.78166,0.3,0.292696,0.55826
9.78366,0.3,0.292701,0.558269
9.78566,0.3,0.292706,0.558279
9.78766,0.3,0.292712,0.558288
9.78966,0.3,0.292717,0.558298
9.79166,0.3,0.292722,0.558307
9.79366,0.3,0.292727,0.558316
9.79566,0.3,0.292732,0.558326
9.79766,0.3,0.292737,0.558335
9.79965,0.3,0.292743,0.558344
9.80165,0.3,0.292748,0.558354
9.80365,0.3,0.292753,0.558363
9.80565,0.3,0.292758,0.558372
9.80765,0.3,0.292763,0.558382
9.80965,0.3,0.292768,0.558391
9.81165,0.3,0.292774,0.5584
9.81365,0.3,0.292779,0.55841
9.81565,0.3,0.292784,0.558419
9.81765,0.3,0.292789,0.558428
9.81965,0.3,0.292794,0.558437
9.82165,0.3,0.292799,0.558447
9.82365,0.3,0.292805,0.558456
9.82565,0.3,0.29281,0.558465
9.82765,0.3,0.292815,0.558474
9.82965,0.3,0.29282,0.558484
9.83165,0.3,0.292825,0.558493
9.83365,0.3,0.29283,0.558502
9.83565,0.3,0.292835,0.558511
9.83765,0.3,0.29284,0.55852
9.83965,0.3,0.292845,0.55853
9.84165,0.3,0.292851,0.558539
9.84365,0.3,0.292856,0.558548
9.84565,0.3,0.292861,0.558557
9.84765,0.3,0.292866,0.558566
9.84965,0.3,0.292871,0.558576
9.85165,0.3,0.292876,0.558585
9.85365,0.3,0.292881,0.558594
9.85565,0.3,0.292886,0.558603
9.85765,0.3,0.292891,0.558612
9.85965,0.3,0.292896,0.558621
9.86165,0.3,0.292901,0.55863
9.86365,0.3,0.292906,0.55864
9.86565,0.3,0.292911,0.558649
9.86765,0.3,0.292917,0.558658
9.86965,0.3,0.292922,0.558667
9.87165,0.3,0.292927,0.558676
9.87365,0.3,0.292932,0.558685
9.87565,0.3,0.292937,0.558694
9.87765,0.3,0.292942,0.558703
9.87965,0.3,0.292947,0.558712
9.88165,0.3,0.292952,0.558721
9.88365,0.3,0.292957,0.55873
9.88565,0.3,0.292962,0.55874
9.88765,0.3,0.292967,0.558749
9.88965,0.3,0.292972,0.558758
9.89165,0.3,0.292977,0.558767
9.89365,0.3,0.292982,0.558776
9.89565,0.3,0.292987,0.558785
9.89765,0.3,0.292992,0.558794
9.89965,0.3,0.292997,0.558803
9.90165,0.3,0.293002,0.558812
9.90365,0.3,0.293007,0.558821
9.90565,0.3,0.293012,0.55883
9.90765,0.3,0.293017,0.558839
9.90965,0.3,0.293022,0.558848
9.91165,0.3,0.293027,0.558857
9.91365,0.3,0.293032,0.558866
9.91565,0.3,0.293037,0.558875
9.91765,0.3,0.293042,0.558883
9.91965,0.3,0.293047,0.558892
9.92165,0.3,0.293052,0.558901
9.92365,0.3,0.293057,0.55891
9.92565,0.3,0.293062,0.558919
9.92765,0.3,0.293067,0.558928
9.92965,0.3,0.293071,0.558937
9.93165,0.3,0.293076,0.558946
9.93365,0.3,0.293081,0.558955
9.93565,0.3,0.293086,0.558964
9.93764,0.3,0.293091,0.558973
9.93964,0.3,0.293096,0.558982
9.94164,0.3,0.293101,0.55899
9.94364,0.3,0.293106,0.558999
9.94564,0.3,0.293111,0.559008
9.94764,0.3,0.293116,0.559017
9.94964,0.3,0.293121,0.559026
9.95164,0.3,0.293126,0.559035
